# iconFromItemPrefab	researchItemID	displayName	description	requiredResearchIDs	researchRecipeRequirements	gatedItemPrefabIDs	tier	category	devComment
PickaxeIron	researchPickaxeTier3	Pickaxes Tier 3		researchPickaxeTier2|researchForgeUpgrade1	RoundLog:7|Finewood:7|WitheredBone:1	PickaxeIron	6	Progression	Tier 6 to Tier 7
SurtlingCore	researchWarmthTier1	Warmth Tier 1			SurtlingCore:2|Coins:25	fire_pit	1	Progression	Tier 6 to Tier 7
Copper	researchForgeUpgrade1	Forge Upgrade 1		researchForge	SilverNecklace:1|WitheredBone:9	forge_ext5	6	Progression	Tier 6 to Tier 7
Copper	researchForgeUpgrade4	Forge Upgrade 4		researchForgeUpgrade3|researchPickaxeTier2	Coins:150|SilverNecklace:1	forge_ext4	6	Useful	
Copper	researchForgeUpgrade5	Forge Upgrade 5		researchForgeUpgrade4	WitheredBone:1	forge_ext6	6	Useful	
Copper	researchForgeUpgrade6	Forge Upgrade 6		researchForgeUpgrade5|researchStonecutter	BjornPaw:10|Entrails:10|WitheredBone:6	forge_ext3	6	Useful	
Stone	researchStonecutter	Stonecutter		researchPickaxeTier2	AncientSeed:7|WitheredBone:3	piece_stonecutter	6	Useful	
HelmetIron	researchIronArmor	Iron Armor		researchPickaxeTier2	Coins:225	HelmetIron|ArmorIronChest|ArmorIronLegs	6	Useful	
AxeIron	researchAxeTier3	Axes Tier 3		researchForgeUpgrade1|researchBoatTier1	WitheredBone:2	AxeIron	6	Useful	WEAPONS
Battleaxe	researchBattleaxeTier1	Battleaxes Tier 1		researchForgeUpgrade1	WitheredBone:8	Battleaxe	6	Useful	
MaceIron	researchClubTier3	Clubs Tier 3		researchClubTier2|researchPickaxeTier2|researchForgeUpgrade1	WitheredBone:8	MaceIron	6	Useful	
SledgeIron	researchSledgehammerTier2	Sledgehammers Tier 2		researchSledgehammerTier1|researchPickaxeTier2|researchForgeUpgrade1	Iron:8	SledgeIron	6	Useful	
SwordIron	researchBladesTier3	Blades Tier 3		researchBladesTier2|researchPickaxeTier2|researchForgeUpgrade1	BjornPaw:9|WitheredBone:4	SwordIron	6	Useful	
SpearElderbark	researchSpearTier3	Spears Tier 3		researchSpearTier2|researchPickaxeTier2|researchForgeUpgrade2	Iron:3|SilverNecklace:1	SpearElderbark	6	Useful	
AtgeirIron	researchPolearmsTier2	Polearms Tier 2		researchPolearmsTier1|researchPickaxeTier2|researchForgeUpgrade1	Iron:2	AtgeirIron	6	Useful	
BowHuntsman	researchBowsTier3	Bows Tier 3		researchBowsTier2|researchPickaxeTier2	Wood:1|SilverNecklace:1	BowHuntsman	6	Useful	
ArrowIron	researchArrowsTier4	Arrows Tier 4		researchArrowsTier3|researchForgeUpgrade1|researchPickaxeTier2	Entrails:2|Finewood:5|SilverNecklace:1	ArrowIron	6	Useful	
TrinketIronHealth	researchTrinketTier2	Trinkets Tier 2		researchTrinketTier1|researchPickaxeTier2	RoundLog:10|Guck:7|Coins:100	TrinketIronHealth|TrinketIronStamina	6	Useful	
Tar	reserachDoorsDarkwood	Darkwood Doors		researchPickaxeTier2|researchBoatTier1	CarrotSeeds:7|Coins:125|Iron:10	darkwood_gate	6	Useful	
BarleyFlour	researchWindmill	Windmill		researchPickaxeTier2|researchBoatTier1|researchCultivator	ElderBark:2|Coins:25	windmill	6	Useful	FOOD
SerpentMeatCooked	researchIronCookingStation	Iron Cooking Station		researchPickaxeTier2|researchBoatTier1|researchWarmthTier3	TrollHide:2|RoundLog:7|Coins:250	Piece_ironcookingstation	6	Useful	
BreadDough	researchPreparationTable	Food Preparation Table		researchPickaxeTier2|researchBoatTier1	AncientSeed:2|WitheredBone:6	piece_preptable	6	Useful	
Finewood	researchStorageTier3	Storage Tier 3		researchStorageTier2|researchPickaxeTier2|researchBoatTier1	SilverNecklace:1	piece_chest	6	Useful	
Fish1	researchBoatTier3	Boat Tier 3		researchBoatTier2|researchNailsTier2	RoundLog:6|SilverNecklace:1	VikingShip	6	Useful	
Wood	researchBedTier2	Bed Tier 2		researchBedTier1|researchWarmthTier1|researchNailsTier2	BjornPaw:5|Ectoplasm:3|Coins:200	piece_bed02	6	Useful	
SurtlingCore	researchWarmthTier3	Hearth		researchStonecutter|researchWarmthTier2	RoundLog:12|Coins:25	hearth	6	Useful	
ShieldIronTower	researchTowerShieldTier2	Tower Shields Tier 2		researchTowerShieldTier1|researchForgeUpgrade1|researchPickaxeTier2	SilverNecklace:1	ShieldIronTower|ShieldSerpentscale	6	Useful	
ShieldIronBuckler	researchBucklerTier2	Bucklers Tier 2		researchBucklerTier1|researchPickaxeTier2	Entrails:2|Finewood:6|Coins:225	ShieldIronBuckler	6	Useful	
Hammer	researchWorkbenchUpgrade4	Workbench Upgrade 4		researchWorkbenchUpgrade3|researchPickaxeTier3|researchWarmthTier1	Copper:2|Obsidian:2	piece_workbench_ext4	7	Useful	
DragonTear	researchArtisanTable	Artisan Table		researchPickaxeTier3|researchWarmthTier1	Finewood:3|FreezeGland:8|WolfClaw:6	piece_artisanstation	7	Progression	Tier 7 to Tier 8
BlackMetalScrap	researchBlastFurnace	Blast Furnace		researchArtisanTable	Copper:2|WitheredBone:9|Crystal:10	blastfurnace	7	Progression	Tier 7 to Tier 8
HelmetFenring	researchFenrisArmor	Fenris Armor		researchWarmthTier1|researchWorkbenchUpgrade1	Copper:5|WolfPelt:2	HelmetFenring|ArmorFenringChest|ArmorFenringLegs	7	Useful	
HelmetDrake	researchWolfArmor	Wolf Armor		researchPickaxeTier3|researchWarmthTier1	WolfFang:5	ArmorWolfChest|ArmorWolfLegs|HelmetDrake	7	Useful	
BattleaxeCrystal	researchBattleaxeTier2	Battleaxes Tier 2		researchBattleaxeTier1|researchForgeUpgrade2|researchPickaxeTier3|researchWarmthTier1	FreezeGland:7	BattleaxeCrystal	7	Useful	
MaceSilver	researchClubTier4	Clubs Tier 4		researchClubTier3|researchForgeUpgrade2|researchWarmthTier1|researchPickaxeTier3	AncientSeed:3|SilverOre:5	MaceSilver	7	Useful	
SwordSilver	researchBladesTier4	Blades Tier 4		researchBladesTier3|researchForgeUpgrade2|researchWarmthTier1|researchPickaxeTier3	CopperOre:9|Finewood:4|WolfClaw:4	SwordSilver	7	Useful	
SpearWolfFang	researchSpearTier4	Spears Tier 4		researchSpearTier3|researchForgeUpgrade2|researchWarmthTier1|researchPickaxeTier3	BjornPaw:7|Crystal:8|Obsidian:2	SpearWolfFang	7	Useful	
KnifeSilver	researchShortBladesTier4	Short Blades Tier 4		researchShortBladesTier3|researchForgeUpgrade2|researchWarmthTier1|researchPickaxeTier3	GreydwarfEye:10|Finewood:4|WolfHairBundle:9	KnifeSilver	7	Useful	
FistFenrirClaw	researchKnucklesTier2	Knuckles Tier 2		researchKnucklesTier1|researchForgeUpgrade2|researchWarmthTier1|researchPickaxeTier3	Coins:100|FreezeGland:3	FistFenrirClaw	7	Useful	
BowDraugrFang	researchBowsTier4	Bows Tier 4		researchBowsTier3|researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade1	Tin:9|JuteRed:3|WolfClaw:6	BowDraugrFang	7	Useful	
ArrowObsidian	researchArrowsTier5	Arrows Tier 5		researchArrowsTier4|researchWorkbenchUpgrade2|researchPickaxeTier3|researchWarmthTier1	RoundLog:5|Tin:2|Obsidian:3	ArrowObsidian	7	Useful	
ArrowSilver	researchArrowsTier6	Arrows Tier 6		researchArrowsTier5	Guck:4|ElderBark:9|SilverOre:9	ArrowSilver	7	Useful	
ArrowPoison	researchArrowsTier7	Arrows Tier 7		researchArrowsTier6	Coins:100|WolfHairBundle:13	ArrowPoison	7	Useful	
ArrowFrost	researchArrowsTier8	Arrows Tier 8		researchArrowsTier7|researchWorkbenchUpgrade3	Ectoplasm:2|WolfHairBundle:9	ArrowFrost	7	Useful	
ArrowNeedle	researchArrowsTier9	Arrows Tier 9		researchArrowsTier8	RoundLog:9|SilverNecklace:1|WolfHairBundle:1	ArrowNeedle	7	Useful	
TrinketSilverResist	researchTrinketTier3	Trinkets Tier 3		researchTrinketTier2|researchWarmthTier1|researchPickaxeTier3	Ooze:1|SilverOre:10|WolfHairBundle:1	TrinketSilverResist|TrinketSilverDamage	7	Useful	
Eyescream	researchCauldronUpgrade2	Cauldron Upgrade 2		researchCauldronUpgrade1|researchPickaxeTier3	Obsidian:7	cauldron_ext3_butchertable	7	Useful	
ShieldSilver	researchShieldTier3	Shields Tier 3		researchShieldTier2|researchPickaxeTier3|researchWarmthTier1	TrollHide:5|SilverOre:4|WolfPelt:9	ShieldSilver	7	Useful	
IronNails	researchNailsTier2	Nails Tier 2		researchPickaxeTier2	WitheredBone:2	IronNails	6	Progression	Tier 8 to Tier 9
AxeBlackMetal	researchAxeTier4	Axes Tier 4		researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade3	Barley:9|BlackMetalScrap:1	AxeBlackMetal	8	Progression	Tier 8 to Tier 9
Wisp	researchWispFountain	Wisp Fountain		researchStonecutter	CopperOre:1|Flax:10	piece_wisplure	8	Progression	Tier 8 to Tier 9
Demister	researchWisplight	Wisplight		researchWispFountain	BjornPaw:1|Barley:3	Demister	8	Progression	Tier 8 to Tier 9
Copper	researchForgeUpgrade2	Forge Upgrade 2		researchForgeUpgrade1|researchBoatTier1	LoxPelt:1	forge_ext1	8	Progression	Tier 8 to Tier 9
Copper	researchForgeUpgrade3	Forge Upgrade 3		researchForgeUpgrade2|researchBronze	Cloudberry:5	forge_ext2	8	Progression	Tier 8 to Tier 9
LinenThread	researchSpinningWheel	Spinning Wheel		researchArtisanTable|researchNailsTier2	Cloudberry:9	piece_spinningwheel	8	Progression	Tier 8 to Tier 9
CapeLinen	researchCapeTier3	Cape Tier 3		researchCapeTier2|researchPickaxeTier3|researchWarhmth1	UndeadBjornRibcage:9	CapeLinen	8	Useful	
CapeLox	researchCapeTier4	Cape Tier 4		researchCapeTier3	Barley:9	CapeLox	8	Useful	
CapeWolf	researchCapeTier5	Cape Tier 5		researchCapeTier4	Barley:8	CapeWolf	8	Useful	
HelmetBerserkerUndead	researchVileboneArmor	Vilebone Armor		researchSpinningWheel|researchForgeUpgrade1	BlackMetalScrap:10	HelmetBerserkerUndead|ArmorBerserkerUndeadChest|ArmorBerserkerUndeadLegs	8	Useful	
HelmetPadded	researchPaddedArmor	Padded Armor		researchSpinningWheel	BjornHide:5|Crystal:1|BlackMetalScrap:4	HelmetPadded|ArmorPaddedCuirass|ArmorPaddedGreaves	8	Useful	
BattleaxeBlackmetal	researchBattleaxeTier3	Battleaxes Tier 3		researchBattleaxeTier2|researchSpinningWheel|researchBlastFurnace||researchForgeUpgrade3	Finewood:2|Coins:100|Cloudberry:9	BattleaxeBlackmetal	8	Useful	
MaceNeedle	researchClubTier5	Clubs Tier 5		researchClubTier4|researchSpinningWheel|researchForgeUpgrade3	Blueberries:2|Needle:4	MaceNeedle	8	Useful	
SwordBlackmetal	researchBladesTier5	Blades Tier 5		researchBladesTier4|researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade3	Ectoplasm:7|JuteRed:1|Needle:1	SwordBlackmetal	8	Useful	
AtgeirBlackmetal	researchPolearmsTier3	Polearms Tier 3		researchPolearmsTier2|researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade3	Ooze:4|UndeadBjornRibcage:3	AtgeirBlackmetal	8	Useful	
KnifeBlackMetal	researchShortBladesTier5	Short Blades Tier 5		researchShortBladesTier4|researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade3	LoxPelt:10	KnifeBlackMetal	8	Useful	
KnifeSkollAndHati	researchShortBladesTier6	Short Blades Tier 6		researchShortBladesTier5|researchBlackForge	SurtlingCore:4|Iron:3|Flax:2	KnifeSkollAndHati	8	Useful	
FistBjornUndeadClaw	researchKnucklesTier3	Knuckles Tier 3		researchKnucklesTier2|researchSpinningWheel|researchBlastFurnace|researchForgeUpgrade3	Dandelion:8|Barley:5	FistBjornUndeadClaw	8	Useful	
TrinketBlackDamageHealth	researchTrinketTier4	Trinkets Tier 4		researchTrinketTier3|researchBlastFurnace	Feathers:9|BlackMetalScrap:6	TrinketBlackDamageHealth|TrinketBlackStamina	8	Useful	
Bread	researchStoneOven	Stone Oven		researchArtisanTable	RoundLog:6|Tin:5|Flax:6	piece_oven	8	Useful	
BloodPudding	researchCauldronUpgrade3	Cauldron Upgrade 3		researchCauldronUpgrade2|researchWindmill|researchBlastFurnace	Ectoplasm:1|Iron:10|LoxPelt:6	cauldron_ext4_pots	8	Useful	
Salad	researchCauldronUpgrade4	Cauldron Upgrade 4		researchCauldronUpgrade3|researchPickaxeTier4	RoundLog:3|Cloudberry:2	cauldron_ext5_mortarandpestle	8	Useful	
BlackMetal	researchStorageTier4	Storage Tier 4		researchStorageTier3|researchBlastFurnace	GreydwarfEye:10|Cloudberry:9	piece_chest_blackmetal	8	Useful	
Scythe	researchScythe	Scythe		researchCultivator|researchPickaxeTier4	Chain:9|Ooze:10|Barley:7	Scythe	8	Useful	
ShieldBlackmetal	researchShieldTier4	Shields Tier 4		researchShieldTier3|researchBlastFurnace	Thistle:6|TinOre:5|Barley:6	ShieldBlackmetal	8	Useful	
ShieldBlackmetalTower	researchTowerShieldTier3	Tower Shields Tier 3		researchTowerShieldTier2|researchForgeUpgrade2|researchBlastFurnace	Ectoplasm:7|Chitin:7|Needle:5	ShieldBlackmetalTower	8	Useful	
PickaxeBlackMetal	researchPickaxeTier4	Pickaxes Tier 4		researchAxeTier4|researchWisplight	DvergrNeedle:8	PickaxeBlackMetal	9	Progression	Tier 9 to Tier 10
Sap	researchSapExtractor	Sap Extractor		researchPickaxeTier4	BjornHide:5|Ectoplasm:9|RoyalJelly:6	piece_sapcollector	9	Useful	Tier 9 to Tier 10
Eitr	researchEitrRefinery	Eitr Refinery		researchPickaxeTier4	ElderBark:2|MushroomJotunPuffs:2|YggdrasilWood:8	eitrrefinery	9	Useful	Tier 9 to Tier 10
BlackCore	researchBlackForge	Black Forge		researchPickaxeTier4	MushroomMagecap:8	blackforge	9	Useful	
BlackCore	researchBlackForgeUpgrade1	Black Forge Upgrade 1		researchBlackForge	YggdrasilWood:3	blackforge_ext1	9	Useful	
BlackCore	researchBlackForgeUpgrade2	Black Forge Upgrade 2		researchBlackForgeUpgrade1	BlackCore:10|JuteBlue:5	blackforge_ext3_metalcutter	9	Useful	
HelmetCarapace	researchCarapaceArmor	Carapace Armor		researchBlackForge	Thistle:2|GiantBloodSack:9	HelmetCarapace|ArmorCarapaceChest|ArmorCarapaceLegs	9	Useful	
THSwordKrom	researchLongBladesTier1	Long Blades Tier 1		researchBlackForge	Mandible:5	THSwordKrom	9	Useful	
SpearCarapace	researchSpearTier5	Spears Tier 5		researchSpearTier4|researchBlackForge	Bilebag:9|BlackCore:10	SpearCarapace	9	Useful	
ArrowCarapace	researchArrowsTier10	Arrows Tier 10		researchArrowsTier9|researchBlackForge	Finewood:7|ScaleHide:9	ArrowCarapace	9	Useful	
CrossbowArbalest	researchCrossbowsTier1	Crossbows Tier 1		researchBlackForge	Copper:6|SilverNecklace:1|GiantBloodSack:6	CrossbowArbalest|BoltBone	9	Useful	Includes Bone bolts
BoltIron	researchBoltsTier1	Bolts Tier 1		researchCrossbowsTier1|researchBlackForge	SilverNecklace:1|YggdrasilWood:9	BoltIron	9	Useful	
BoltBlackmetal	researchBoltsTier2	Bolts Tier 2		researchBoltsTier1	Stone:9|Tin:5|Mandible:2	BoltBlackmetal	9	Useful	
BoltCarapace	researchBoltsTier3	Bolts Tier 3		researchBoltsTier2	RoundLog:4|WolfFang:7|DvergrNeedle:5	BoltCarapace	9	Useful	
CrossbowArbalest	researchDvergrDoors	Dvergr Doors		researchAxeTier4	BlackCore:7	piece_hexagonal_door	9	Filler	DVERGR PIECES
CrossbowArbalest	researchDvergrFences	Dvergr Fences		researchAxeTier4	CarrotSeeds:9|YggdrasilWood:9	piece_dvergr_stake_wall|piece_dvergr_sharpstakes	9	Filler	
CrossbowArbalest	researchDvergrStairs	Dvergr Stairs		researchAxeTier4	Blueberries:2|Ooze:1|Bilebag:9	piece_dvergr_spiralstair|piece_dvergr_spiralstair_right	9	Filler	
CeramicPlate	researchCeramicPlate	Ceramic Plates		researchArtisanUpgrade1	RoundLog:9|WitheredBone:1|Softtissue:1	CeramicPlate	10	Progression	Tier 10 to Tier 11
Fish1	researchBoatTier4	Boat Tier 4		researchCeramicPlate	Sap:7	VikingShip_Ashlands	10	Progression	Tier 10 to Tier 11
